"Gouv.","Lon","Lat","S/S","Adresse","Localite","Shop ","Cafeteria","Lavage","24h/24","Restaurant","Carte pétrolière","Gasoil 50","Pétrole bleu","Gaz Bouteille","GPL","Vidange","Mélange 2T","gasoil","Lubrifiants","pneumatique","diagnostique"
"Ariana","10.186004","36.853462","ARIANA","Av. HABIB BOURGUIBA","ARIANA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Ariana","10.117053","36.841229","MNIHLA","CENTRE VILLE MNIHLA","MNIHLA","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Ariana","10.178474","36.937992","SIDI AMOR BOUKHTIOUA","ROUTE DE RAOUED KM 10","S. A. BOUKHTIOUA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Ariana","10.185726","36.876612","ARIANA (ROUTE DE RAOUED)","AVENUE FETHI ZOUHIR","ARIANA","","","","Oui","","Oui","Oui","Oui","Oui","","","Oui","Oui","Oui","",""
"Ariana","10.109773","36.906927","CEBELET BEN AMMAR","ROUTE DE BIZERTE GP8 ","CEBELET BEN AMMAR ","","","Oui","Oui","","Oui","Oui","","Oui","Oui","Oui","Oui","Oui","Oui","",""
"Ariana","10.165912","36.859347","ENNASR 1","AV. JALLOULI ","RIADH ENNASR ","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","","Oui","Oui","",""
"Beja","9.189568","36.726887","BEJA ","CENTRE VILLE","BEJA ","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Beja","9.612007","36.648651","MEDJEZ EL BAB ","CENTRE VILLE","MEDJEZ EL BAB ","","","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Beja","9.792091","36.655355","GRIAAT PK 29 ( DIRECTION MEDJEZ EL BAB )","AUTOROUTE A3 PK 29 DIRECTION MEDJEZ EL BAB","GRIAAT","","Oui","Oui","Oui","Oui","Oui","Oui","","","","","","Oui","Oui","",""
"Beja","9.791982","36.653606","GRIAAT pk 29 DIRECTION TUNIS","AUTOROUTE A3 pk29 DIRECTION TUNIS","GRIAAT","","Oui","Oui","Oui","Oui","Oui","Oui","","","","","","Oui","Oui","",""
"Beja","9.662602 ","36.534112","GUEBELLAT","ROUTE DE BOUARADA","GUEBELLAT","","Oui","Oui","Oui","","Oui","Oui","","","","Oui","Oui","Oui","Oui","",""
"Beja","9.109417","36.599919","SIDI SMAIL","CENTRE VILLE","SIDI SMAIL","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
"Beja","9.505850","36.577876","SLOUGHIA","CENTRE VILLE","SLOUGHIA","","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","","Oui","Oui","Oui","Oui","",""
